- a,- あ
a a,a あ
i a,i あ
u a,u あ
e a,e あ
o a,o あ
nn a,n あ
- i,- い
a i,a い
i i,i い
u i,u い
e i,e い
o i,o い
nn i,n い
- u,- う
a u,a う
i u,i う
u u,u う
e u,e う
o u,o う
nn u,n う
- e,- え
a e,a え
i e,i え
u e,u え
e e,e え
o e,o え
nn e,n え
- o,- お
a o,a お
i o,i お
u o,u お
e o,e お
o o,o お
nn o,n お
- nn,- ん
a nn,a ん
i nn,i ん
u nn,u ん
e nn,e ん
o nn,o ん
nn nn,n ん
k a,か
k u,く
k e,け
k o,こ
ky a,きゃ
ky i,き
ky u,きゅ
ky e,きぇ
ky o,きょ
g a,が
g u,ぐ
g e,げ
g o,ご
gy a,ぎゃ
gy i,ぎ
gy u,ぎゅ
gy e,ぎぇ
gy o,ぎょ
s a,さ
s i,すぃ
s u,す
s e,せ
s o,そ
sh a,しゃ
sh i,し
sh u,しゅ
sh e,しぇ
sh o,しょ
z a,ざ
z i,ずぃ
z u,ず
z e,ぜ
z o,ぞ
j a,じゃ
j i,じ
j u,じゅ
j e,じぇ
j o,じょ
t a,た
t i,てぃ
t u,とぅ
t e,て
t o,と
ch a,ちゃ
ch i,ち
ch u,ちゅ
ch e,ちぇ
ch o,ちょ
ts a,つぁ
ts i,つぃ
ts u,つ
ts e,つぇ
ts o,つぉ
d a,だ
d i,でぃ
d u,どぅ
d e,で
d o,ど
n a,な
n u,ぬ
n e,ね
n o,の
ny a,にゃ
ny i,に
ny u,にゅ
ny e,にぇ
ny o,にょ
h a,は
h u,hu
h e,へ
h o,ほ
hy a,ひゃ
hy i,ひ
hy u,ひゅ
hy e,ひぇ
hy o,ひょ
f a,ふぁ
f i,ふぃ
f u,ふ
f e,ふぇ
f o,ふぉ
b a,ば
b u,ぶ
b e,べ
b o,ぼ
by a,びゃ
by i,び
by u,びゅ
by e,びぇ
by o,びょ
p a,ぱ
p u,ぷ
p e,ぺ
p o,ぽ
py a,ぴゃ
py i,ぴ
py u,ぴゅ
py e,ぴぇ
py o,ぴょ
m a,ま
m u,む
m e,め
m o,も
my a,みゃ
my i,み
my u,みゅ
my e,みぇ
my o,みょ
y a,や
y u,ゆ
y e,いぇ
y o,よ
r a,ら
r u,る
r e,れ
r o,ろ
ry a,りゃ
ry i,り
ry u,りゅ
ry e,りぇ
ry o,りょ
w a,わ
w i,うぃ
w e,うぇ
w o,を
